edad,educ,wage
68,12,3112.8401530794317
47,6,2781.8254905923536
46,13,2837.327382664536
25,4,2240.248479476156
56,7,2497.0944716236204
63,10,2358.380192946149
18,7,3213.7529925835443
74,3,2336.9291198349747
52,13,2199.3050454044146
59,4,1521.1740611227867
77,8,2970.3096329569753
41,2,1875.2719463383328
62,10,2838.913118515957
51,5,1907.240819709772
52,7,2507.57152205185
51,5,2920.5834257988845
78,12,1848.8834807278718
56,10,2586.057351583212
66,14,3064.5090676085465
67,5,2482.3504666898602
29,13,1895.5224064361523
62,7,2697.1165050284935
31,9,1972.4847430272337
47,12,2642.3342195684763
64,12,2014.9485689919738
53,3,1981.2246637523795
31,8,949.0175334282942
53,14,2316.0288170997724
78,10,2381.6910707170737
78,8,2134.458732084785
70,4,2509.074380491084
34,10,2199.361219691204
22,13,2842.9185301542543
54,6,2824.4906471482077
72,12,3318.491865255406
48,1,2291.4751962270375
65,7,2782.293490185844
44,9,1769.7162992844646
47,3,3225.0401081726477
52,12,2518.369493236425
20,7,2058.3077881612417
63,4,2403.854283298697
50,7,2548.133550121841
77,2,2487.366914407308
26,7,2097.6657621817126
77,13,2994.611505105832
56,3,2742.0877720791805
35,4,2985.3018923365107
54,5,2929.8175685344936
58,8,3862.3630273989775
40,6,2476.44141403857
68,7,1795.7594607269455
31,14,3421.7472392314057
29,10,2224.0405599221444
53,2,3681.439953825574
25,12,2772.557065723434
54,5,1458.06647861844
30,11,2177.7018976114964
69,1,2954.2190083127234
54,14,3111.186313314404
70,1,2628.984751588851
76,9,2925.012064615459
21,10,2567.570597559043
55,9,2715.068136209117
35,11,1765.2504779666542
76,5,2105.1784477717283
57,7,2150.7738287505963
71,4,3050.3487421480418
69,12,2017.7275577006183
66,2,2862.548940981215
47,3,1860.5986110517988
64,13,2161.794823467897
47,11,2602.362577825069
34,6,1984.5562400920812
77,2,2099.7709749163487
50,7,781.523610289288
21,4,2231.3662950773696
56,8,3830.8530922378723
56,10,559.1711038769504
56,11,1220.142716911591
24,7,2957.340407172099
36,11,2674.7671946261426
69,5,1089.7653089709127
32,8,1587.5018600681776
44,1,2340.0300233188686
35,4,2579.750811345389
68,3,2922.407673770426
69,5,2501.3343288959354
34,9,2348.3996212242323
47,1,2170.524909055055
66,6,2684.62089858916
74,9,2226.646601258619
30,10,2191.1279396472064
51,9,2551.842206797848
37,3,1902.9546782569637
21,2,2751.3469888515056
31,4,812.5950710910597
22,10,2690.148956175667
35,10,3876.0188572309426
35,6,2390.8706403369124
69,11,2655.412900608484
46,9,2743.60591680692
47,3,1253.4855518827242
60,14,2441.4037957776936
69,5,1352.3889719012766
56,11,2571.146532143526
76,13,2621.9595214103074
43,14,1389.3240780493418
20,10,2249.4704183139843
26,5,1898.2820158962538
49,13,2595.689001896847
19,2,2598.7863398639975
58,3,2725.063129928795
46,8,2068.027626219382
41,5,2058.6105376991177
45,6,1243.436188722696
34,5,2478.512292929755
67,14,2110.9105876103163
79,12,2436.7318314590434
56,10,1459.5823768050996
79,12,2309.744997225051
56,7,3197.8477912021517
73,8,2364.358920925944
31,11,1998.8744673806339
72,3,2349.0346008720708
71,1,2925.1028113688844
32,3,2108.5639681783314
19,11,2760.236553504894
49,8,2343.2533699822015
53,11,2391.6832865791334
38,10,3016.719628431672
34,2,2722.0471597825376
64,5,3537.0455568691864
64,3,1708.6493368556457
43,1,2361.1682192572557
46,11,3035.7415910529153
49,5,2125.7919056392393
25,5,3367.277751322894
54,11,1892.602457318283
42,7,3108.5842940062607
31,12,1707.6693619521259
27,14,2571.0911895906697
53,11,2848.5636254329993
25,3,2304.7189058332997
72,2,2429.3738131211885
69,4,1594.2805052529066
71,11,2450.625099556721
25,1,3141.4072136348086
69,4,2504.6583019368068
22,10,2270.1147034709584
50,8,2490.609810982072
72,14,1778.130740885892
46,10,1426.2357678128944
73,9,3131.440095518052
24,3,2752.0040244402735
51,2,1748.7694659823132
76,14,3095.072204739277
59,3,3000.344994635227
46,1,2242.1045017115043
77,13,3063.3067986596257
28,4,1544.661677365859
57,4,1540.8788419243697
75,2,2773.9613913395006
28,10,2256.562451819356
18,10,1786.1804420288463
31,3,2646.8333185152574
22,10,3581.040074573545
68,12,2540.4462029890133
48,7,2704.373763253121
40,7,2645.631448273951
67,14,2537.02937757928
69,1,1931.6940248619708
65,1,2996.6755648254098
55,9,2356.1134750381775
78,11,3757.7713753575927
48,8,2656.06669282783
75,2,2922.4687992268073
25,4,4445.411350294044
18,2,2632.62583339831
33,4,2369.0174783748935
73,8,2123.253053155296
37,9,2340.2667585451823
60,5,2364.8497999437386
50,2,1815.317570796118
66,10,2322.19441513606
60,3,2675.1662272258204
79,13,1565.2512657280795
36,7,2477.495801048835
32,1,2117.0079832956917
51,10,3124.9150674064163
71,6,3460.9742539388217
52,2,2980.0715999780487
57,5,2495.2264855843187
31,7,2188.2798913006445
59,14,2941.907327567631
40,12,2107.1705562224142
75,6,2029.548176169192
40,3,3279.565994608633
37,6,1195.5714985199163
47,13,2947.161961091665
61,11,2207.1828999695003
53,8,2367.750865679627
31,3,2154.8434816171803
19,6,2935.4185211658005
37,13,2838.998328117686
69,4,1206.6185957609289
28,2,3606.427012424062
64,6,2223.8209694803904
24,4,2768.3085453204876
73,11,2579.393228384629
34,11,2895.2930509668845
54,5,3316.3008925661975
62,5,1978.0066262466967
55,3,2399.013695812914
28,2,1978.0345120923052
42,8,2023.593669083119
33,12,2084.3025144505295
64,2,2766.4583218600537
40,4,1851.8131373597134
64,1,1977.5985482326496
56,2,1156.8041366295824
45,2,2589.9922116755192
73,10,2437.1319149330084
47,1,3001.9868465231434
70,6,1988.6624767849967
40,7,2918.2264056822014
75,10,1684.8759301219225
63,2,3177.3703616958724
73,10,2646.595833052471
41,12,2871.7449679084757
62,11,2843.606770531018
73,3,2281.8002990408377
60,10,3613.410416208539
37,14,2406.1635802429337
42,9,1739.1111048627404
49,3,1844.8467053596337
51,7,2218.9805024404322
76,4,2789.995307731867
41,1,3086.7646984648036
70,11,2973.7524841418335
59,4,2673.600926648381
53,1,3194.370249278587
45,11,2143.3140349155856
39,13,2559.0811989014865
38,7,2182.9025910240807
20,6,2092.9169370483123
50,4,2788.7149672987016
52,6,2657.3199610963597
37,5,2681.5738484837625
41,2,2372.092544010179
51,2,1617.191150665608
19,4,2348.804523786702
70,5,2196.0969299312314
31,9,2152.9768532106023
61,11,2626.0716059716924
45,3,1870.5653655977405
41,4,2390.984409143197
50,12,3012.061248518905
30,4,2367.380058929577
50,3,3383.4375409365434
75,4,2374.796900603673
27,4,2409.9914858343664
38,10,2674.850817654886
73,2,2243.354593056357
50,14,2048.1821143848065
18,6,2358.066692998172
59,8,1689.7747184591906
28,11,3004.803709332273
29,1,3475.582345192525
69,10,2578.6894624165093
50,5,2212.986797921265
37,2,2179.9930536097218
42,12,1770.6239776807085
33,11,2568.121902199121
58,3,1812.5006068575572
62,1,2722.7672783285757
62,11,1815.6394893916458
74,14,1483.3247302330474
44,5,1702.7354528517035
51,9,1784.5047527179936
78,5,3168.172692301865
62,14,3310.3736219537877
63,6,1391.5158469874912
19,1,2486.049459625889
77,10,1740.0567074567598
26,10,2331.373317295146
33,7,2785.819883697618
34,4,2009.8480700788666
48,2,2229.546736713711
34,9,2163.590545024153
18,9,1622.0151698894638
66,11,4158.109851800118
75,5,3776.8767833121233
71,14,1778.6833201926183
24,3,2526.060845288675
37,12,2628.888107836687
69,6,2338.1536725242045
24,3,1720.603164004845
48,10,2914.0763223469817
75,10,2636.455160483609
49,10,1990.0009224604796
69,4,2408.118519680069
22,11,2932.119240519929
72,4,2258.930299658771
61,8,2300.13270066904
22,1,2345.3694378380364
54,8,3212.8779404310326
42,9,1888.4804390555973
33,1,3450.1852470011895
52,1,1972.1390171493722
73,10,2675.4722946861484
77,7,2762.689334294358
36,12,2273.2642987445465
50,8,2409.342953872589
64,7,1569.9909039602076
76,1,2283.8760117206602
31,6,1786.5254610091833
35,3,2241.977641396754
25,5,2524.7369806326305
29,2,3410.0085116523906
67,12,3225.4325374660834
73,9,2570.0801151984315
67,6,2763.2213137271137
79,7,2877.368936605028
25,4,1989.2864807700844
65,11,2236.3599027765927
36,1,1791.9664766951819
29,11,3575.6043441332304
60,8,2302.1882598725806
54,11,2931.6245694621507
57,1,2731.6917289517273
32,2,2822.6384238134674
55,1,2303.992052020532
41,3,2707.1223481589886
58,14,1834.1213165793865
29,1,1846.7595635445887
64,10,2274.910517509227
66,1,3513.8317053833175
48,9,2686.493362996931
19,7,2178.5523609907677
49,13,1862.5731902749276
23,14,3177.128670025044
57,9,3122.1059678345687
72,4,1736.1256729459506
57,1,2369.3845266768826
73,6,2054.833502765201
39,1,3312.5830350797005
71,4,3228.2537674970217
51,3,3269.7682232415764
65,9,1822.6274712852128
53,12,2557.5771018774485
33,4,1910.1449789678907
42,4,2517.5408543231356
45,10,2466.4967472296694
28,1,2923.9832353319407
35,13,2795.203537153709
77,8,1881.5547940467886
28,1,2465.48107057354
21,3,4329.852407417833
48,5,1998.1372853016105
51,9,2939.040562004453
27,6,2346.5344884353017
78,10,3366.9406558940736
50,6,2622.230108105084
28,5,2703.8306623835106
71,7,2974.482250620032
64,13,1968.9778421343683
76,10,1333.2491808734815
23,12,3085.4391038000826
29,11,2665.078329454788
33,4,1487.1407938440111
54,6,1772.3059432181233
58,9,2617.2219237418726
46,11,2489.0118624275638
19,13,1632.7910956349033
45,3,2230.9255572358556
76,2,1836.2858273802121
46,14,3149.145140301472
74,1,3402.603233378445
71,2,2722.8507873301187
43,10,2558.1240829078592
49,10,2550.760139473546
69,9,2252.6214384854056
54,12,2616.6459736133747
23,9,2451.4922629067873
34,12,2364.8938408964686
55,2,2110.9212787077054
23,7,2866.5791362640934
57,2,3526.8287223954467
47,10,2882.50081159874
52,7,2687.3618373096124
31,7,3129.1005890552283
71,6,2998.8576577879494
63,9,2535.945066904561
28,12,2399.328409294535
40,5,3012.3383182083007
56,3,2936.425964477136
70,12,2367.9859481510302
57,2,3432.469087803521
61,9,3099.242302777957
68,11,2386.7715556801336
45,8,2272.7939199326083
49,10,3609.9729291749527
49,10,1801.7240141008979
24,12,3280.9690822006646
45,14,2258.684458295004
31,13,1960.070876439783
50,12,2153.395304333088
30,6,2402.8652882105803
53,12,2429.5621443429536
61,13,2102.0141293704355
50,4,2420.0903712613886
21,6,1221.1866990306553
67,9,3425.4974444994987
35,14,1226.884435664228
25,8,1070.4275138174924
42,9,2945.396051640555
23,9,3011.8002281466165
77,3,3685.6454977990984
50,11,2686.036708357321
58,14,1782.6608524304518
73,10,1843.1637624048074
18,7,2576.4845127932317
62,12,2704.076622546202
22,12,2262.5617113488656
47,10,3245.28422954559
60,10,1897.1566828371404
55,3,2610.034264402625
21,12,2924.044877211137
76,14,3107.2143453497556
77,2,2327.037011484952
72,3,3516.550431664915
75,4,3360.5390296232868
56,12,1875.413556376472
56,1,3499.610874188358
55,13,2281.1202619997603
57,14,2737.490461140704
78,10,2479.8426785148645
45,12,2164.090176038966
55,5,2496.8040834018184
55,6,1914.5280128703769
61,1,2770.9412904273177
71,5,2773.1342482624077
49,13,2127.828456785116
18,12,2588.919762312778
59,8,2699.237967967035
79,9,1713.3380497199225
40,7,2657.240714303465
70,6,1911.6945083211801
62,1,1701.4228996964393
27,11,2621.692529150034
48,6,2105.984606094713
69,3,2111.3148317789464
36,3,2613.3165878421287
74,12,1835.9953782415437
60,4,2575.629018751701
63,1,3794.114076657307
52,14,2789.1617383845296
46,14,2604.4477540664748
28,12,1850.0348003054175
47,13,2365.305239285951
50,4,2280.3217933565
20,8,1799.7855580098783
78,7,2119.573155320433
21,12,2887.8136230612854
57,2,981.4078195624102
43,1,2241.185913089266
74,7,3780.5274408943724
35,12,2680.702839870789
62,6,2570.6394196447636
23,13,3317.5954125658063
67,8,2542.63755129608
62,9,3388.7214983833883
70,6,3389.8576453755254
29,13,2365.0982725779627
73,2,1846.2296382245918
59,11,2510.125686251405
26,14,2456.245346364648
68,14,3012.2562369153284
25,3,1984.74081470099
21,12,2764.962568089304
25,4,1499.1779760972647
32,14,2551.3266129276885
38,1,3196.1710821575316
58,5,2436.1989736120527
39,13,1389.4041686007963
59,10,2520.698611445175
31,12,1199.9003594553212
74,5,1763.576685656832
19,8,2777.2606586664815
68,11,3365.6467004513797
60,7,3791.5358101611887
64,6,1808.9303823690884
44,1,2174.6455260490047
69,4,3343.1695457503743
51,5,3170.9286674834157
29,11,2185.2331041222687
39,14,2416.023758735149
70,2,2456.6797891207934
55,1,3732.0285316993304
62,11,2476.6614157370436
75,1,2796.1288758831006
21,1,2773.6888168383184
18,14,2654.317520416017
28,10,2558.559883644375
44,2,2848.539149601698
30,2,3183.1209544759904
18,14,1978.8796265711203
67,4,1974.1430091543573
34,13,2560.3660959436606
54,3,2005.1423289552422
25,2,2271.5223149251287
20,4,3757.6871785508965
63,11,2426.4887348369025
29,1,2223.4646353724643
52,9,2730.9388791461593
19,12,2847.4231914662632
61,8,2685.402152087964
54,3,3070.4211944109884
24,6,2607.8323305805848
56,5,3704.3492715100256
74,12,2287.774502496612
37,6,3113.9053945583755
26,2,2060.0756869337883
40,4,3401.8241553582907
52,10,3476.470790219747
69,7,3030.7230280350286
72,7,1988.0155714658426
53,10,2479.5575681898226
46,13,2767.353955757744
79,12,2047.1055913669106
51,7,1950.2577826415686
20,12,2932.689526632406
64,2,2779.33730378628
32,3,877.7468789126124
69,5,2144.7594575742883
72,9,874.8330247713432
49,3,2793.520610545131
27,2,2223.0163978641936
22,2,1974.594585529618
40,7,2298.1750223579215
51,5,2156.3748728092314
55,5,2365.432218540559
22,3,1934.0017493733312
33,10,2055.8556650225464
71,13,2971.8400724454145
73,14,1840.5623843592539
31,14,3916.6458255235175
76,8,3174.6072111389067
33,9,2005.9638754842779
39,4,2155.0234532766103
56,13,1577.932146605685
75,5,2270.234897396753
57,5,1493.4253284793504
24,8,2060.496583973268
44,11,2196.2966687595977
51,13,3399.2777174466996
71,10,2490.3348087063514
31,2,2222.5600496561387
48,2,3309.1868567211154
34,12,2486.636044532961
32,13,2717.708811688312
64,1,2680.4227140305084
47,5,2431.4388991023116
60,6,2613.9847809768057
35,14,2291.996348073291
28,14,2526.719755406175
46,12,1711.7082560838448
23,9,2868.1379339801215
46,1,2336.927974568846
65,8,2243.234655356853
62,14,3105.583727741361
46,10,2099.4912719178697
27,13,2511.8991643390423
64,14,3217.756907584673
73,13,3245.6711297447237
43,6,3200.294710317397
62,6,4440.237201497867
43,1,2676.928709221512
74,4,2798.157090748073
57,9,2268.9809305047697
39,2,2465.6304127909398
19,9,2289.731499166323
36,5,2145.523086424575
53,10,3130.2350009180786
56,5,2132.30461427108
56,3,1668.1596255682948
38,10,2345.985337300071
45,3,2391.2813521690855
25,4,949.320121879812
31,3,2977.9759812932566
31,4,3501.5148241993966
34,3,2418.3069568945457
71,7,2646.0942528498354
49,10,2589.550065217736
48,4,1710.7275705121758
24,3,2726.1170248594444
26,5,2500.573373557123
27,13,2200.08114066619
65,12,2879.3033133721538
24,2,2755.425076136998
21,7,1797.2494960346144
37,6,2857.265309175729
28,4,4204.777542519364
29,11,2801.318777090243
68,5,3186.27349843942
62,11,2219.3922868232085
19,9,2330.7332584600313
75,7,1465.8183311609132
60,6,1933.6397204663413
54,9,2496.106102813097
70,12,2603.1308003731588
22,7,2764.7676846067006
71,12,1617.651719317087
76,6,2366.302025947419
39,11,3084.78004289071
73,6,3156.3424855805806
37,10,2706.3505206839236
25,4,1149.8149105097966
74,12,2254.3383124290485
50,3,2138.475030994525
59,6,2229.3751062738365
65,8,2266.7884060832102
50,7,2153.7731144633826
31,1,2303.3535171885
45,11,1981.2534614850479
62,1,2959.7452642103135
67,11,1885.874828366189
51,9,2176.54028798275
47,13,2914.1261421254226
79,14,3354.313606383105
31,7,2341.7611949244642
27,6,2296.77262098875
57,14,3557.7525874484154
20,4,2745.815008957059
